Ensemble,Target,Horizon,MAE_at_horizon
Ensemble-Simple (mstl_multi_only),RE,24,1.6960886334076175
Ensemble-Simple (mstl_only),CI,1,1.2506799306421124
Ensemble-Simple (mstl_only),CI,2,3.2480402789779315
Ensemble-Simple (mstl_only),CI,3,3.7041382997194456
Ensemble-Simple (mstl_only),CI,4,3.797986874788188
Ensemble-Simple (mstl_only),CI,5,3.80595893059128
Ensemble-Simple (mstl_only),CI,6,4.255413671046323
Ensemble-Simple (mstl_only),CI,7,3.8309285488415323
Ensemble-Simple (mstl_only),CI,8,4.44625014225581
Ensemble-Simple (mstl_only),CI,9,4.363446158365451
Ensemble-Simple (mstl_only),CI,10,4.446921802137057
Ensemble-Simple (mstl_only),CI,11,5.337337753526549
Ensemble-Simple (mstl_only),CI,12,5.190943620859077
Ensemble-Simple (mstl_only),CI,13,5.010242492264366
Ensemble-Simple (mstl_only),CI,14,4.829223717464475
Ensemble-Simple (mstl_only),CI,15,4.944043743615647
Ensemble-Simple (mstl_only),CI,16,4.795281750573193
Ensemble-Simple (mstl_only),CI,17,4.891550286854456
Ensemble-Simple (mstl_only),CI,18,4.883213936466111
Ensemble-Simple (mstl_only),CI,19,5.781386640049629
Ensemble-Simple (mstl_only),CI,20,5.2782125201771875
Ensemble-Simple (mstl_only),CI,21,4.66216980307905
Ensemble-Simple (mstl_only),CI,22,4.803839110188176
Ensemble-Simple (mstl_only),CI,23,4.709627338761354
Ensemble-Simple (mstl_only),CI,24,4.871630202175279
Ensemble-Simple (mstl_only),RE,1,0.14141147706920634
Ensemble-Simple (mstl_only),RE,2,0.3910988073401585
Ensemble-Simple (mstl_only),RE,3,0.4438051844886989
Ensemble-Simple (mstl_only),RE,4,0.46162694055380343
Ensemble-Simple (mstl_only),RE,5,0.468423726938985
Ensemble-Simple (mstl_only),RE,6,0.5229450499208468
Ensemble-Simple (mstl_only),RE,7,0.5031358097013868
Ensemble-Simple (mstl_only),RE,8,0.5557811277776018
Ensemble-Simple (mstl_only),RE,9,0.5215271035837593
Ensemble-Simple (mstl_only),RE,10,0.54289149985954
Ensemble-Simple (mstl_only),RE,11,0.6530013761859519
Ensemble-Simple (mstl_only),RE,12,0.639485421802733
Ensemble-Simple (mstl_only),RE,13,0.6297592314747983
Ensemble-Simple (mstl_only),RE,14,0.6497820508777898
Ensemble-Simple (mstl_only),RE,15,0.6688934846046939
Ensemble-Simple (mstl_only),RE,16,0.6540835210053281
Ensemble-Simple (mstl_only),RE,17,0.7010794110546545
Ensemble-Simple (mstl_only),RE,18,0.6564802550666587
Ensemble-Simple (mstl_only),RE,19,0.7809920984954724
Ensemble-Simple (mstl_only),RE,20,0.691591551270525
Ensemble-Simple (mstl_only),RE,21,0.6641869354664517
Ensemble-Simple (mstl_only),RE,22,0.6950553266411013
Ensemble-Simple (mstl_only),RE,23,0.7354530777279258
Ensemble-Simple (mstl_only),RE,24,0.7711261580623321
Ensemble-Simple (multi_only),CI,1,1.2946431779029968
Ensemble-Simple (multi_only),CI,2,3.1939054384298164
Ensemble-Simple (multi_only),CI,3,3.5869802748495623
Ensemble-Simple (multi_only),CI,4,3.8247828953160763
Ensemble-Simple (multi_only),CI,5,4.229648858246313
Ensemble-Simple (multi_only),CI,6,5.127473637846529
Ensemble-Simple (multi_only),CI,7,5.07820651063025
Ensemble-Simple (multi_only),CI,8,6.006701505201822
Ensemble-Simple (multi_only),CI,9,6.426744452269224
Ensemble-Simple (multi_only),CI,10,6.759522338842888
Ensemble-Simple (multi_only),CI,11,8.250068592017776
Ensemble-Simple (multi_only),CI,12,8.436657873437563
Ensemble-Simple (multi_only),CI,13,8.580719256660363
Ensemble-Simple (multi_only),CI,14,8.834730538714046
Ensemble-Simple (multi_only),CI,15,9.52382511286084
Ensemble-Simple (multi_only),CI,16,9.825327234832129
Ensemble-Simple (multi_only),CI,17,9.592017233317199
Ensemble-Simple (multi_only),CI,18,10.002946203293112
Ensemble-Simple (multi_only),CI,19,10.977726968360049
Ensemble-Simple (multi_only),CI,20,10.08555415044666
Ensemble-Simple (multi_only),CI,21,9.170631162754024
Ensemble-Simple (multi_only),CI,22,9.1909814095315
Ensemble-Simple (multi_only),CI,23,8.412488234193207
Ensemble-Simple (multi_only),CI,24,9.373919464973088
Ensemble-Simple (multi_only),RE,1,0.14037467253370192
Ensemble-Simple (multi_only),RE,2,0.3607456281492999
Ensemble-Simple (multi_only),RE,3,0.4205822504955101
Ensemble-Simple (multi_only),RE,4,0.4626489308633306
Ensemble-Simple (multi_only),RE,5,0.4775049539564434
Ensemble-Simple (multi_only),RE,6,0.5717817757337503
Ensemble-Simple (multi_only),RE,7,0.5608069229494237
Ensemble-Simple (multi_only),RE,8,0.6672845810311084
Ensemble-Simple (multi_only),RE,9,0.6872278536434941
Ensemble-Simple (multi_only),RE,10,0.7275878439883077
Ensemble-Simple (multi_only),RE,11,0.9114782821480725
Ensemble-Simple (multi_only),RE,12,0.9451404951438812
Ensemble-Simple (multi_only),RE,13,0.9574720472173038
Ensemble-Simple (multi_only),RE,14,1.0626077445024167
Ensemble-Simple (multi_only),RE,15,1.0531780182237496
Ensemble-Simple (multi_only),RE,16,1.0764978007228505
Ensemble-Simple (multi_only),RE,17,1.0710670979818278
Ensemble-Simple (multi_only),RE,18,1.0514012967048807
Ensemble-Simple (multi_only),RE,19,1.1995486438440661
Ensemble-Simple (multi_only),RE,20,1.1002404247089788
Ensemble-Simple (multi_only),RE,21,1.0570240477697297
Ensemble-Simple (multi_only),RE,22,1.0584890599152965
Ensemble-Simple (multi_only),RE,23,1.0934872992858788
Ensemble-Simple (multi_only),RE,24,1.1028982544228192
Ensemble-Simple (prophet_multi_only),CI,1,1.3779890202446723
Ensemble-Simple (prophet_multi_only),CI,2,3.272518370539668
Ensemble-Simple (prophet_multi_only),CI,3,3.6087495423963922
Ensemble-Simple (prophet_multi_only),CI,4,3.766173217598473
Ensemble-Simple (prophet_multi_only),CI,5,4.418985680626367
Ensemble-Simple (prophet_multi_only),CI,6,5.48146145199457
Ensemble-Simple (prophet_multi_only),CI,7,5.450938976496519
Ensemble-Simple (prophet_multi_only),CI,8,6.0605271957072455
Ensemble-Simple (prophet_multi_only),CI,9,7.0594610087641065
Ensemble-Simple (prophet_multi_only),CI,10,7.227900509009893
Ensemble-Simple (prophet_multi_only),CI,11,8.767406610178476
Ensemble-Simple (prophet_multi_only),CI,12,9.327180297252287
Ensemble-Simple (prophet_multi_only),CI,13,9.611378967003338
