Target,Metric,Baseline (nb05),Tuned (nb06),Improvement (%)
CI,MAE,1.9738819993863888,1.7466450497981578,11.51218510827248
CI,RMSE,2.5130508277437262,2.2594068441297677,10.093070176447082
CI,MAPE (%),0.33859564150784,0.2993441358000047,11.592442694489458
RE,MAE,0.2190486419142572,0.18166650972747403,17.065676308285795
RE,RMSE,0.2802003547407284,0.2362089048858308,15.699997915992379
RE,MAPE (%),1.3812457785295866,1.1519894283449301,16.597795537063124
