Model,Target,cyclical,dummy,Cyclical_minus_Dummy_RMSE
BiLSTM CI,CI,18.51351822641927,18.073582631911254,0.43993559450801456
BiLSTM Multi,CI,34.33861407375117,77.64107579803927,-43.3024617242881
BiLSTM Multi,RE,5.93000547728942,7.042393458544992,-1.112387981255572
BiLSTM RE,RE,0.9851214770622175,2.7425122287249395,-1.7573907516627219
Multi-LSTM,CI,28.827506993225345,10.074181676475538,18.75332531674981
Multi-LSTM,RE,4.880986316760944,1.456222104140728,3.424764212620216
Uni-LSTM CI,CI,17.834835667013987,10.693979384446017,7.14085628256797
Uni-LSTM RE,RE,1.039269701408291,1.3438351452046466,-0.30456544379635564
