number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_l1,params_dropout_l2,params_dropout_l3,params_layer_type,params_learning_rate,params_look_back,params_n_layers,params_units_l1,params_units_l2,params_units_l3,user_attrs_n_epochs_trained,state
30,0.0010919022606685758,2026-08-25 12:26:47.348440,2026-08-25 12:29:31.974984,0 days 00:02:44.626544,64,0.05,0.30000000000000004,,lstm,0.0011176913722286434,12,2,128,96.0,,50.0,COMPLETE
31,0.0011504858266562223,2026-08-25 12:29:31.977323,2026-08-25 12:32:16.869568,0 days 00:02:44.892245,64,0.05,0.30000000000000004,,lstm,0.0011370949873022278,12,2,128,96.0,,50.0,COMPLETE
32,0.0011239174054935575,2026-08-25 12:32:16.872065,2026-08-25 12:35:00.789377,0 days 00:02:43.917312,64,0.05,0.30000000000000004,,lstm,0.0010963544415050533,12,2,128,96.0,,50.0,COMPLETE
33,0.0019890014082193375,2026-08-25 12:35:00.791846,2026-08-25 12:35:38.998911,0 days 00:00:38.207065,64,0.05,0.30000000000000004,,lstm,0.0006088867146076908,12,2,128,96.0,,,PRUNED
34,0.001151394098997116,2026-08-25 12:35:39.001189,2026-08-25 12:39:54.517799,0 days 00:04:15.516610,64,0.0,0.4,0.0,lstm,0.001016204246116055,12,3,128,96.0,128.0,50.0,COMPLETE
35,0.0011215748963877559,2026-08-25 12:39:54.520361,2026-08-25 12:42:34.811411,0 days 00:02:40.291050,64,0.0,0.25,,lstm,0.00254998984957478,12,2,128,96.0,,50.0,COMPLETE
36,0.0011053152848035097,2026-08-25 12:42:34.814090,2026-08-25 12:44:54.864710,0 days 00:02:20.050620,64,0.0,0.25,,lstm,0.0025846522393053266,12,2,96,96.0,,50.0,COMPLETE
37,0.001192830502986908,2026-08-25 12:44:54.869713,2026-08-25 12:48:05.182334,0 days 00:03:10.312621,64,0.0,0.2,0.0,lstm,0.002780933474503896,12,3,96,96.0,64.0,50.0,COMPLETE
38,0.0016646797303110361,2026-08-25 12:48:05.184791,2026-08-25 12:48:59.978284,0 days 00:00:54.793493,64,0.0,0.2,,lstm,0.004482516649598067,12,2,96,96.0,,,PRUNED
39,0.002299365121871233,2026-08-25 12:48:59.980707,2026-08-25 12:51:12.163660,0 days 00:02:12.182953,64,0.1,0.25,,lstm,0.0025614148813941505,72,2,96,64.0,,,PRUNED
