Model,Target,MAE,RMSE,MAPE (%),R2
Uni-LSTM CI,CI,2.501396003383244,2.979461401255889,0.4282542278412801,0.8907767935459445
BiLSTM CI,CI,2.422640172670924,2.9173828555917822,0.41499842805350956,0.8952808164102248
Multi-LSTM,CI,2.2724678513138747,2.8371278686992967,0.39027859762788314,0.9009630597302614
BiLSTM Multi,CI,1.9738819993863888,2.5130508277437262,0.33859564150784005,0.9222962569037303
Uni-LSTM RE,RE,0.16628550134633252,0.21895226774695567,1.0503714644538198,0.9560336307537383
BiLSTM RE,RE,0.16304204078644507,0.2170576508070316,1.0301243024123665,0.9567912299279366
Multi-LSTM,RE,0.20590365888178372,0.2658710338219991,1.3012338342281815,0.9351718309067627
BiLSTM Multi,RE,0.21904864191425727,0.2802003547407284,1.3812457785295866,0.9279955944689057
