Model,Target,cyclical,dummy,Cyclical_minus_Dummy_RMSE
BiLSTM CI,CI,4.519931618871864,2.2878109411080785,2.232120677763785
BiLSTM Multi,CI,3.050956353403235,3.2776243817170063,-0.22666802831377142
BiLSTM Multi,RE,0.257928386845299,0.28242716631596004,-0.024498779470661036
BiLSTM RE,RE,0.21271045944793052,0.29065163815400924,-0.07794117870607872
Multi-LSTM,CI,2.673212523393213,2.718602607890186,-0.04539008449697279
Multi-LSTM,RE,0.2619302535323905,0.27728818421045187,-0.015357930678061349
Uni-LSTM CI,CI,3.429149104412873,2.5131246636407902,0.9160244407720826
Uni-LSTM RE,RE,0.21496160234274506,0.22810272733909187,-0.013141124996346815
