Model,Target,MAE,RMSE,MAPE (%),R2
BiLSTM Multi (Optuna-tuned),CI,1.7466450497981578,2.2594068441297677,0.2993441358000047,0.9371900750040408
BiLSTM Multi (Optuna-tuned),RE,0.18166650972747403,0.2362089048858308,1.1519894283449301,0.94883013868376
