Decomposition,Model,Target,MAE,RMSE,MAPE (%),R2
mstl,Multi-LSTM,CI,2.2516249374270623,2.7906322279345064,0.3856223924281631,0.9043609137559795
mstl,Multi-LSTM,RE,0.17572637314612782,0.23413539964436836,1.1156560006662917,0.9493905493473322
mstl,BiLSTM Multi,CI,1.6385499670894141,2.1604552876409313,0.2804749411570484,0.9426780742018336
mstl,BiLSTM Multi,RE,0.16609021465631574,0.22281029139459033,1.0540255271369927,0.9541680902009169
prophet,Multi-LSTM,CI,2.504114549417635,3.1545859134156324,0.4291861588159165,0.8777876974242113
prophet,Multi-LSTM,RE,0.21326420254184164,0.27403931686459876,1.3546614527896967,0.9306696785615235
prophet,BiLSTM Multi,CI,2.1887369951241493,2.8673730014334446,0.3750746420056113,0.8990285505374804
prophet,BiLSTM Multi,RE,0.22949932453324712,0.2958621554358938,1.4523508328102595,0.9191879181480238
