Decomposition,Model,look_back,batch_size,n_layers,units,dropout,learning_rate,best_val_loss,search_time_min
mstl,Multi-LSTM,48,64,1,128,0.09983689107917987,0.0010677482709481358,0.00194641575217247,15.100421150525412
mstl,BiLSTM Multi,48,64,1,128,0.09983689107917987,0.0010677482709481358,0.0019499046029523015,69.7523505806923
prophet,Multi-LSTM,48,64,1,128,0.09983689107917987,0.0010677482709481358,0.0030724266543984413,10.786766680081685
prophet,BiLSTM Multi,48,64,1,128,0.09983689107917987,0.0010677482709481358,0.003127404721453786,35.81539247830709
