Datetime (UTC),trend_mstl,resid_mstl,seasonal_seasonal_24,seasonal_seasonal_168
2024-01-01 00:00:00,580.4296114699931,2.8658429939073358,1.8795802686415246,-0.8550347325419797
2024-01-01 01:00:00,580.4295024256347,2.6460613520258676,-0.19344638167715936,-2.1821173959833517
2024-01-01 02:00:00,580.4294459417537,-1.0603791295311567,-1.504135670075267,-1.984931142147293
2024-01-01 03:00:00,580.429442694295,-0.6846937602072103,-0.9507862723830641,-1.463962661704607
2024-01-01 04:00:00,580.429493384919,-1.2118999062233797,-0.6091244619907177,-1.0284690167049075
2024-01-01 05:00:00,580.4295987554152,-1.7677628952076248,-2.6799048926602462,-0.9019309675472685
2024-01-01 06:00:00,580.4297595998079,-1.2971484608539186,0.21425422102452774,-0.5868653599784548
2024-01-01 07:00:00,580.4299767761569,-2.5902144603113584,-1.313082387025193,-1.0666799288202482
2024-01-01 08:00:00,580.4302512057362,-1.7940112831635133,2.3624656706685307,-1.3887055932412398
2024-01-01 09:00:00,580.4305838917161,0.27390729586613816,-0.8874622572501315,-0.5070289303321162
2024-01-01 10:00:00,580.4309758993401,-0.5412700880291368,-3.928215618844514,-0.11149019246640414
2024-01-01 11:00:00,580.4314283122967,-0.23619807041882268,-1.6368617216345762,0.7316314797565799
2024-01-01 12:00:00,580.4319422375243,-0.31989417084923844,-5.893402681468456,-0.7086453852065344
2024-01-01 13:00:00,580.4325188032057,-0.46995056758862574,-5.205045291771377,-1.5675229438455665
2024-01-01 14:00:00,580.4331591593991,-0.42381179503297517,-1.8022513147750419,-1.3970960495911293
2024-01-01 15:00:00,580.4338644811544,-0.7520369331211896,-1.7931952167166454,-1.508632331316568
2024-01-01 16:00:00,580.4346359697324,0.2391602444962473,4.661596824468371,-1.545393038697112
2024-01-01 17:00:00,580.435474853723,0.5868740290055712,1.8921921791549243,-2.7945410618835296
2024-01-01 18:00:00,580.4363823679129,1.3563603454130089,4.12003134983643,-2.7827740631622406
2024-01-01 19:00:00,580.4373597366465,1.4620915811376562,3.135886390562521,-2.205337708346679
2024-01-01 20:00:00,580.4384081556436,0.8082517087465249,1.9796051162557493,-2.57626498064593
2024-01-01 21:00:00,580.4395287888692,1.3291700344902893,1.6700345768868856,-2.2987334002464612
2024-01-01 22:00:00,580.4407227778223,1.3055505103366158,1.927457200317726,-1.8537304884765673
2024-01-01 23:00:00,580.4419912342134,1.9708122258715548,2.812660737595364,-0.9954641976803443
2024-01-02 00:00:00,580.443335234309,-0.38877326456224637,1.6288945326841726,-0.2334565024308566
2024-01-02 01:00:00,580.4447558176986,-0.5754787427720203,-0.21733099487347052,-1.4019460800531067
2024-01-02 02:00:00,580.4462540302011,1.246575203595512,-0.8830240926440521,-0.6298051411525509
2024-01-02 03:00:00,580.4478309296911,1.4420757159815594,-0.21212823097743164,-0.9477784146951943
2024-01-02 04:00:00,580.4494875501598,1.9115746525094437,0.3169834892598215,-0.658045691929041
2024-01-02 05:00:00,580.4512248865447,2.0082850997422383,-1.8346952664354648,-1.9048147198514234
2024-01-02 06:00:00,580.453043884477,1.3007053020346575,0.8401468834279896,-1.0538960699396485
2024-01-02 07:00:00,580.4549454389602,2.5323375082139137,-0.9768585562849698,-0.6404243908892131
2024-01-02 08:00:00,580.4569304005221,1.9908235391627613,2.6229134073236153,-0.2106673470084082
2024-01-02 09:00:00,580.4589995590042,0.4204557874367083,-0.8473540595054958,-1.7421012869354373
