Decomposition,Model,Target,Horizon,MAE_at_horizon
mstl,Multi-LSTM,CI,7,5.790910137627982
mstl,Multi-LSTM,CI,8,7.202060471578768
mstl,Multi-LSTM,CI,9,7.5486851643252235
mstl,Multi-LSTM,CI,10,8.133101558980194
mstl,Multi-LSTM,CI,11,9.800459798955023
mstl,Multi-LSTM,CI,12,10.088300591035784
mstl,Multi-LSTM,CI,13,10.335330686934045
mstl,Multi-LSTM,CI,14,10.441967654683362
mstl,Multi-LSTM,CI,15,11.014488561127358
mstl,Multi-LSTM,CI,16,11.390687061753486
mstl,Multi-LSTM,CI,17,11.801709925591112
mstl,Multi-LSTM,CI,18,12.167777516832903
mstl,Multi-LSTM,CI,19,13.738934986481778
mstl,Multi-LSTM,CI,20,13.39020966365205
mstl,Multi-LSTM,CI,21,13.204681955527388
mstl,Multi-LSTM,CI,22,13.760099965914769
mstl,Multi-LSTM,CI,23,13.995164444379002
mstl,Multi-LSTM,CI,24,14.689268194052994
mstl,Multi-LSTM,RE,1,0.1640418657964187
mstl,Multi-LSTM,RE,2,0.4319440166192635
mstl,Multi-LSTM,RE,3,0.5138992062789058
mstl,Multi-LSTM,RE,4,0.5694793766580183
mstl,Multi-LSTM,RE,5,0.6221827790879262
mstl,Multi-LSTM,RE,6,0.7311617012419336
mstl,Multi-LSTM,RE,7,0.7802102153450602
mstl,Multi-LSTM,RE,8,0.8867022892622627
mstl,Multi-LSTM,RE,9,0.863248742380247
mstl,Multi-LSTM,RE,10,0.9516632974638942
mstl,Multi-LSTM,RE,11,1.1524675436680665
mstl,Multi-LSTM,RE,12,1.21122809612483
mstl,Multi-LSTM,RE,13,1.2418214196749506
mstl,Multi-LSTM,RE,14,1.3139729792512664
mstl,Multi-LSTM,RE,15,1.3372541180178357
mstl,Multi-LSTM,RE,16,1.3687145031000183
mstl,Multi-LSTM,RE,17,1.4694020240289531
mstl,Multi-LSTM,RE,18,1.4479654423762094
mstl,Multi-LSTM,RE,19,1.642643057845286
mstl,Multi-LSTM,RE,20,1.5998043317369706
mstl,Multi-LSTM,RE,21,1.6384426040761735
mstl,Multi-LSTM,RE,22,1.737271730671384
mstl,Multi-LSTM,RE,23,1.868955871146419
mstl,Multi-LSTM,RE,24,2.0070017950075174
mstl,Uni-LSTM CI,CI,1,1.233736603209943
mstl,Uni-LSTM CI,CI,2,3.2376817679565444
mstl,Uni-LSTM CI,CI,3,3.6616683393610048
mstl,Uni-LSTM CI,CI,4,3.7329463393849664
mstl,Uni-LSTM CI,CI,5,3.8058805498796264
mstl,Uni-LSTM CI,CI,6,4.160659456958505
mstl,Uni-LSTM CI,CI,7,3.813889085213104
mstl,Uni-LSTM CI,CI,8,4.081502548785442
mstl,Uni-LSTM CI,CI,9,4.436520255859381
mstl,Uni-LSTM CI,CI,10,4.5771338564978805
mstl,Uni-LSTM CI,CI,11,4.636696169789326
mstl,Uni-LSTM CI,CI,12,4.561707361746098
mstl,Uni-LSTM CI,CI,13,4.368523879418425
mstl,Uni-LSTM CI,CI,14,4.584426646432597
mstl,Uni-LSTM CI,CI,15,5.0374776498796825
mstl,Uni-LSTM CI,CI,16,4.876393855691048
mstl,Uni-LSTM CI,CI,17,4.684629382015104
mstl,Uni-LSTM CI,CI,18,4.510939584872627
mstl,Uni-LSTM CI,CI,19,4.491274334465478
mstl,Uni-LSTM CI,CI,20,4.450550003697311
mstl,Uni-LSTM CI,CI,21,4.455078120781405
mstl,Uni-LSTM CI,CI,22,4.434324530530079
mstl,Uni-LSTM CI,CI,23,4.544491881961745
mstl,Uni-LSTM CI,CI,24,4.333045455422868
mstl,Uni-LSTM RE,RE,1,0.1250539437659834
mstl,Uni-LSTM RE,RE,2,0.3730232976786276
mstl,Uni-LSTM RE,RE,3,0.4182598334921406
mstl,Uni-LSTM RE,RE,4,0.42067246080665266
mstl,Uni-LSTM RE,RE,5,0.4295333758056248
mstl,Uni-LSTM RE,RE,6,0.45606346435519235
mstl,Uni-LSTM RE,RE,7,0.41765497067082263
mstl,Uni-LSTM RE,RE,8,0.4497173383966166
mstl,Uni-LSTM RE,RE,9,0.45942245086904615
mstl,Uni-LSTM RE,RE,10,0.46130833620427764
mstl,Uni-LSTM RE,RE,11,0.48475530288933816
mstl,Uni-LSTM RE,RE,12,0.45086835859249896
mstl,Uni-LSTM RE,RE,13,0.42937277058520046
mstl,Uni-LSTM RE,RE,14,0.4454184107040372
mstl,Uni-LSTM RE,RE,15,0.47378568315189534
mstl,Uni-LSTM RE,RE,16,0.4552644074392647
mstl,Uni-LSTM RE,RE,17,0.4224245497253999
mstl,Uni-LSTM RE,RE,18,0.41248801506230853
mstl,Uni-LSTM RE,RE,19,0.4071407064306682
mstl,Uni-LSTM RE,RE,20,0.40521795743897016
mstl,Uni-LSTM RE,RE,21,0.3845658339039543
mstl,Uni-LSTM RE,RE,22,0.3828532336547493
mstl,Uni-LSTM RE,RE,23,0.35280173767681505
mstl,Uni-LSTM RE,RE,24,0.32877562595865994
prophet,BiLSTM CI,CI,1,1.6728011184461014
prophet,BiLSTM CI,CI,2,3.3191218052907265
prophet,BiLSTM CI,CI,3,3.7139625811062422
prophet,BiLSTM CI,CI,4,3.5941153678298043
prophet,BiLSTM CI,CI,5,3.9794741045467528
prophet,BiLSTM CI,CI,6,5.111247448888224
prophet,BiLSTM CI,CI,7,4.788093088927996
prophet,BiLSTM CI,CI,8,5.526470579631405
prophet,BiLSTM CI,CI,9,7.7472414976595125
prophet,BiLSTM CI,CI,10,8.096599996523322
prophet,BiLSTM CI,CI,11,9.679832760826002
prophet,BiLSTM CI,CI,12,10.844187078905712
prophet,BiLSTM CI,CI,13,10.67530622958229
prophet,BiLSTM CI,CI,14,11.809206214795774
prophet,BiLSTM CI,CI,15,12.266179638469266
prophet,BiLSTM CI,CI,16,10.829706759242056
prophet,BiLSTM CI,CI,17,10.869282217511486
prophet,BiLSTM CI,CI,18,11.557275243224908
prophet,BiLSTM CI,CI,19,12.180376939875778
prophet,BiLSTM CI,CI,20,12.370584087691668
prophet,BiLSTM CI,CI,21,9.95168604782905
prophet,BiLSTM CI,CI,22,8.284211148890687
prophet,BiLSTM CI,CI,23,8.159125549965864
prophet,BiLSTM CI,CI,24,9.388850053989444
prophet,BiLSTM Multi,CI,1,1.338180336552739
prophet,BiLSTM Multi,CI,2,3.1691904858376825
prophet,BiLSTM Multi,CI,3,3.7011919161071978
prophet,BiLSTM Multi,CI,4,4.1720683729193295
prophet,BiLSTM Multi,CI,5,4.963650638645568
prophet,BiLSTM Multi,CI,6,6.4482925626171586
prophet,BiLSTM Multi,CI,7,6.586124204256583
prophet,BiLSTM Multi,CI,8,6.7465390357963795
prophet,BiLSTM Multi,CI,9,8.301473018713727
prophet,BiLSTM Multi,CI,10,9.016979962140546
prophet,BiLSTM Multi,CI,11,10.28536744032031
prophet,BiLSTM Multi,CI,12,10.599946420529129
prophet,BiLSTM Multi,CI,13,10.768947268393367
prophet,BiLSTM Multi,CI,14,12.02514388256372
prophet,BiLSTM Multi,CI,15,12.964746937673997
prophet,BiLSTM Multi,CI,16,13.565737136790307
prophet,BiLSTM Multi,CI,17,14.732886819610146
prophet,BiLSTM Multi,CI,18,14.647265385306355
prophet,BiLSTM Multi,CI,19,14.57410098629138
prophet,BiLSTM Multi,CI,20,13.653489343792057
prophet,BiLSTM Multi,CI,21,11.84851012829048
prophet,BiLSTM Multi,CI,22,11.786213299345887
prophet,BiLSTM Multi,CI,23,11.191917650089186
prophet,BiLSTM Multi,CI,24,12.160974487819212
prophet,BiLSTM Multi,RE,1,0.14931397048828418
prophet,BiLSTM Multi,RE,2,0.33387465097491753
prophet,BiLSTM Multi,RE,3,0.37280264960410997
prophet,BiLSTM Multi,RE,4,0.39331336652639004
prophet,BiLSTM Multi,RE,5,0.42228367557647595
prophet,BiLSTM Multi,RE,6,0.5379081160850283
prophet,BiLSTM Multi,RE,7,0.5213192211400515
prophet,BiLSTM Multi,RE,8,0.5704584246506955
prophet,BiLSTM Multi,RE,9,0.7311237788172273
prophet,BiLSTM Multi,RE,10,0.7744181809019749
prophet,BiLSTM Multi,RE,11,0.992071002020192
prophet,BiLSTM Multi,RE,12,1.0962484549629634
prophet,BiLSTM Multi,RE,13,1.0997884486224117
prophet,BiLSTM Multi,RE,14,1.280565285207615
prophet,BiLSTM Multi,RE,15,1.3364127412210411
prophet,BiLSTM Multi,RE,16,1.3048949291350325
prophet,BiLSTM Multi,RE,17,1.2389774220001901
prophet,BiLSTM Multi,RE,18,1.3246198431643155
prophet,BiLSTM Multi,RE,19,1.329670620347323
prophet,BiLSTM Multi,RE,20,1.2085279445715549
prophet,BiLSTM Multi,RE,21,1.1716270706503211
prophet,BiLSTM Multi,RE,22,1.0982536610771243
prophet,BiLSTM Multi,RE,23,1.1442306204318071
prophet,BiLSTM Multi,RE,24,1.068899332371649
prophet,BiLSTM RE,RE,1,0.1667973068104126
prophet,BiLSTM RE,RE,2,0.38787150355785455
prophet,BiLSTM RE,RE,3,0.42294834982718127
prophet,BiLSTM RE,RE,4,0.44556114920158035
prophet,BiLSTM RE,RE,5,0.4677045918923595
prophet,BiLSTM RE,RE,6,0.49634835640447217
prophet,BiLSTM RE,RE,7,0.4907109078377499
prophet,BiLSTM RE,RE,8,0.5005800973435605
prophet,BiLSTM RE,RE,9,0.536787906518056
prophet,BiLSTM RE,RE,10,0.5311543652382131
prophet,BiLSTM RE,RE,11,0.6018678039008623
prophet,BiLSTM RE,RE,12,0.6305326219536295
prophet,BiLSTM RE,RE,13,0.7006896112775044
prophet,BiLSTM RE,RE,14,0.8594148186489251
prophet,BiLSTM RE,RE,15,0.9081769015044178
prophet,BiLSTM RE,RE,16,0.9303229023762973
prophet,BiLSTM RE,RE,17,0.8426181718237558
prophet,BiLSTM RE,RE,18,0.791163125437026
prophet,BiLSTM RE,RE,19,0.8881685940961398
prophet,BiLSTM RE,RE,20,0.8326604929345349
prophet,BiLSTM RE,RE,21,0.8187215490977376
prophet,BiLSTM RE,RE,22,0.8488487494408087
prophet,BiLSTM RE,RE,23,0.8437335367182489
prophet,BiLSTM RE,RE,24,0.8231139456320254
prophet,Multi-LSTM,CI,1,1.6824320450224115
prophet,Multi-LSTM,CI,2,3.4189670289491914
prophet,Multi-LSTM,CI,3,3.638220807971444
prophet,Multi-LSTM,CI,4,3.52424992875184
prophet,Multi-LSTM,CI,5,4.015366151601611
prophet,Multi-LSTM,CI,6,4.7197504840927005
prophet,Multi-LSTM,CI,7,4.596683533599775
prophet,Multi-LSTM,CI,8,5.6446981846394895
prophet,Multi-LSTM,CI,9,6.088701752947343
prophet,Multi-LSTM,CI,10,5.933167950596256
prophet,Multi-LSTM,CI,11,7.52340165752969
prophet,Multi-LSTM,CI,12,8.24575423149189
prophet,Multi-LSTM,CI,13,8.655847314157729
prophet,Multi-LSTM,CI,14,8.775373634996154
prophet,Multi-LSTM,CI,15,9.926160857822925
prophet,Multi-LSTM,CI,16,10.057824645944159
prophet,Multi-LSTM,CI,17,7.887097614873924
prophet,Multi-LSTM,CI,18,9.074879918738413
prophet,Multi-LSTM,CI,19,10.00786161770983
prophet,Multi-LSTM,CI,20,8.565091939199823
prophet,Multi-LSTM,CI,21,7.8484646127585735
prophet,Multi-LSTM,CI,22,7.429497722957833
prophet,Multi-LSTM,CI,23,5.12653857827433
prophet,Multi-LSTM,CI,24,7.097800096026309
prophet,Multi-LSTM,RE,1,0.1656166586314055
prophet,Multi-LSTM,RE,2,0.34720313091011584
prophet,Multi-LSTM,RE,3,0.360215113459196
prophet,Multi-LSTM,RE,4,0.3684965709804447
prophet,Multi-LSTM,RE,5,0.38200445464902555
prophet,Multi-LSTM,RE,6,0.4284612521866047
prophet,Multi-LSTM,RE,7,0.40866210303772754
prophet,Multi-LSTM,RE,8,0.47255969444373525
prophet,Multi-LSTM,RE,9,0.49102429098681605
prophet,Multi-LSTM,RE,10,0.4790091710293209
prophet,Multi-LSTM,RE,11,0.5631962928377408
prophet,Multi-LSTM,RE,12,0.546241931206157
prophet,Multi-LSTM,RE,13,0.5249536385278541
prophet,Multi-LSTM,RE,14,0.6180857415206298
prophet,Multi-LSTM,RE,15,0.5817228018899734
prophet,Multi-LSTM,RE,16,0.619791234641671
prophet,Multi-LSTM,RE,17,0.5416764969385348
prophet,Multi-LSTM,RE,18,0.5231805592655181
prophet,Multi-LSTM,RE,19,0.6436735863087212
prophet,Multi-LSTM,RE,20,0.5486014651075708
prophet,Multi-LSTM,RE,21,0.4602705500051053
prophet,Multi-LSTM,RE,22,0.4409159843389795
prophet,Multi-LSTM,RE,23,0.44532042334532096
prophet,Multi-LSTM,RE,24,0.4274343553132537
prophet,Uni-LSTM CI,CI,1,1.6859131188468564
prophet,Uni-LSTM CI,CI,2,3.0337528166304617
prophet,Uni-LSTM CI,CI,3,3.3705716261181387
prophet,Uni-LSTM CI,CI,4,3.6422884098329917
prophet,Uni-LSTM CI,CI,5,4.194623425510843
prophet,Uni-LSTM CI,CI,6,5.350916046688006
prophet,Uni-LSTM CI,CI,7,4.702798244445835
prophet,Uni-LSTM CI,CI,8,5.069397787356072
prophet,Uni-LSTM CI,CI,9,6.099790784523548
prophet,Uni-LSTM CI,CI,10,6.280438203674526
prophet,Uni-LSTM CI,CI,11,7.075746948380256
prophet,Uni-LSTM CI,CI,12,7.75120305415963
prophet,Uni-LSTM CI,CI,13,6.8662116595361775
prophet,Uni-LSTM CI,CI,14,7.365927947382472
prophet,Uni-LSTM CI,CI,15,7.705737703674096
prophet,Uni-LSTM CI,CI,16,8.628764472615499
prophet,Uni-LSTM CI,CI,17,6.620142885791649
prophet,Uni-LSTM CI,CI,18,8.20594306716501
prophet,Uni-LSTM CI,CI,19,9.421113107669974
prophet,Uni-LSTM CI,CI,20,8.092501145111706
prophet,Uni-LSTM CI,CI,21,6.972600660708858
prophet,Uni-LSTM CI,CI,22,6.8012254041395455
prophet,Uni-LSTM CI,CI,23,6.06932269377663
prophet,Uni-LSTM CI,CI,24,8.229103471955124
prophet,Uni-LSTM RE,RE,1,0.14090590956885507
prophet,Uni-LSTM RE,RE,2,0.47068762938980635
prophet,Uni-LSTM RE,RE,3,0.47513088355793676
prophet,Uni-LSTM RE,RE,4,0.5052889294009221
prophet,Uni-LSTM RE,RE,5,0.5242686878092511
prophet,Uni-LSTM RE,RE,6,0.7541867875225354
prophet,Uni-LSTM RE,RE,7,0.7618696277022078
prophet,Uni-LSTM RE,RE,8,0.6652636095714786
